,Token,Amount,Type,Date
111,BTC,0.00020319,Trade,2021-02-15 20:29:06
112,USDC,-10.0,Trade,2021-02-07 08:53:22
113,PAX,10.0,Trade,2021-02-07 08:53:22
114,USDC,-10.0,Trade,2021-02-07 08:52:52
115,GUSD,10.0,Trade,2021-02-07 08:52:52
116,USDC,-10.0,Trade,2021-02-07 08:52:26
117,USDT,9.895405,Trade,2021-02-07 08:52:26
118,USDT,-7.059655,Trade,2021-02-07 08:51:42
119,PAX,7.0,Trade,2021-02-07 08:51:42
120,USDC,50.0,Deposit,2021-02-02 18:06:48
121,USDT,7.04435244,Interest Payment,2021-01-31 23:59:59
122,USDC,-10.0,Trade,2021-01-15 22:05:01
123,LTC,0.070184,Trade,2021-01-15 22:05:01
124,USDC,-10.0,Trade,2021-01-15 19:25:38
125,ETH,0.00855847,Trade,2021-01-15 19:25:38
126,GUSD,-10.0,Trade,2021-01-15 19:14:38
127,PAXG,0.00535152,Trade,2021-01-15 19:14:38
128,PAX,-10.0,Trade,2021-01-15 17:16:38
129,BTC,0.00027667,Trade,2021-01-15 17:16:38
130,USDT,-26.0,Withdrawal,2021-01-05 18:59:47
131,PAX,-10.0,Trade,2021-01-01 21:56:29
132,BTC,0.00033819,Trade,2021-01-01 21:56:29
133,USDC,-10.0,Trade,2021-01-01 19:55:28
134,ETH,0.01359679,Trade,2021-01-01 19:55:28
135,GUSD,-10.0,Trade,2021-01-01 19:18:09
136,PAXG,0.00510088,Trade,2021-01-01 19:18:09
137,USDC,-10.0,Trade,2021-01-01 18:22:31
138,LTC,0.07899306,Trade,2021-01-01 18:22:31
139,USDT,5.59559652,Interest Payment,2020-12-31 23:59:59
140,USDC,-30.0,Trade,2020-12-25 10:15:13
141,GUSD,30.0,Trade,2020-12-25 10:15:13
142,USDC,-30.0,Trade,2020-12-25 10:14:04
143,PAX,30.0,Trade,2020-12-25 10:14:04
144,USDC,100.0,Deposit,2020-12-25 10:02:24
145,PAX,-40.0,Trade,2020-12-19 07:26:06
146,USDC,40.0,Trade,2020-12-19 07:26:06
147,GUSD,-10.0,Trade,2020-12-19 07:24:29
148,PAXG,0.00521507,Trade,2020-12-19 07:24:29
149,USDC,-10.0,Trade,2020-12-19 07:22:55
150,LTC,0.09272326,Trade,2020-12-19 07:22:55
151,USDC,-10.0,Trade,2020-12-19 07:20:32
152,ETH,0.01520653,Trade,2020-12-19 07:20:32
153,USDC,-10.0,Trade,2020-12-17 12:29:01
154,USDT,9.907083,Trade,2020-12-17 12:29:01
155,USDC,-10.0,Trade,2020-12-17 12:27:44
156,GUSD,10.0,Trade,2020-12-17 12:27:44
157,USDC,-40.0,Trade,2020-12-17 12:26:41
158,PAX,40.0,Trade,2020-12-17 12:26:41
159,USDC,100.0,Deposit,2020-12-17 10:48:50
160,BTC,1.59e-05,Bonus Payment,2020-12-15 23:59:59
161,USDC,-10.0,Trade,2020-12-15 22:51:00
162,ETH,0.01683717,Trade,2020-12-15 22:51:00
163,USDC,-10.0,Trade,2020-12-15 21:05:13
164,LTC,0.11999746,Trade,2020-12-15 21:05:13
165,PAX,-10.0,Trade,2020-12-15 15:22:35
166,BTC,0.00051062,Trade,2020-12-15 15:22:35
167,GUSD,-10.0,Trade,2020-12-07 06:18:16
168,PAXG,0.00535429,Trade,2020-12-07 06:18:16
169,BTC,-0.015,Withdrawal,2020-12-02 20:30:49
170,PAX,-10.0,Trade,2020-12-01 20:29:49
171,BTC,0.00052132,Trade,2020-12-01 20:29:49
172,USDT,-160.0,Withdrawal,2020-12-01 17:10:17
173,USDT,7.43827896,Interest Payment,2020-12-01 04:59:59
174,LTC,-0.0025,Withdrawal Fee,2020-11-30 19:37:01
175,LTC,-2.0,Withdrawal,2020-11-30 19:37:01
176,ETH,-0.0015,Withdrawal Fee,2020-11-30 19:35:25
177,ETH,-0.3,Withdrawal,2020-11-30 19:35:25
178,USDC,-10.0,Trade,2020-11-16 00:47:32
179,ETH,0.02203452,Trade,2020-11-16 00:47:32
180,GUSD,-10.0,Trade,2020-11-15 20:42:02
181,PAXG,0.00521269,Trade,2020-11-15 20:42:02
182,USDC,-10.0,Trade,2020-11-15 16:45:35
183,LTC,0.15811227,Trade,2020-11-15 16:45:35
184,PAX,-10.0,Trade,2020-11-15 16:27:31
185,BTC,0.00061928,Trade,2020-11-15 16:27:31
186,PAX,-50.69,Trade,2020-11-14 10:53:41
187,USDT,50.34136,Trade,2020-11-14 10:53:41
188,USDC,-10.0,Trade,2020-11-14 10:52:28
189,GUSD,10.0,Trade,2020-11-14 10:52:28
190,USDC,-3.52,Trade,2020-11-14 10:51:28
191,USDT,3.495825,Trade,2020-11-14 10:51:28
192,USDC,-60.0,Trade,2020-11-14 10:50:32
193,PAX,60.0,Trade,2020-11-14 10:50:32
194,USDC,50.0,Deposit,2020-11-14 10:42:16
195,PAXG,-0.031,Withdrawal,2020-11-06 17:00:41
196,USDC,-50.341749,Trade,2020-11-03 06:02:45
197,USDT,50.0,Trade,2020-11-03 06:02:45
198,PAX,-10.0,Trade,2020-11-01 15:38:57
199,BTC,0.0007159,Trade,2020-11-01 15:38:57
200,PAX,5.84721438,Interest Payment,2020-11-01 03:59:59
201,USDT,50.0,Deposit,2020-10-31 11:16:16
202,GUSD,-10.0,Trade,2020-10-15 23:48:34
203,PAXG,0.00513705,Trade,2020-10-15 23:48:34
204,USDC,-10.0,Trade,2020-10-15 17:06:07
205,ETH,0.02633452,Trade,2020-10-15 17:06:07
206,PAX,-10.0,Trade,2020-10-15 14:53:31
207,BTC,0.00086968,Trade,2020-10-15 14:53:31
208,USDC,-10.0,Trade,2020-10-15 14:29:31
209,LTC,0.19909491,Trade,2020-10-15 14:29:31
210,PAX,-10.0,Trade,2020-10-10 05:49:05
211,BTC,0.00087048,Trade,2020-10-10 05:49:05
212,PAX,-10.0,Trade,2020-10-01 15:11:59
213,BTC,0.00091139,Trade,2020-10-01 15:11:59
214,PAX,4.916119,Interest Payment,2020-10-01 03:59:59
215,PAXG,0.04219074,Deposit,2020-09-27 08:39:50
216,GUSD,-70.0,Trade,2020-09-19 05:40:05
217,USDC,70.0,Trade,2020-09-19 05:40:05
218,PAX,-10.0,Trade,2020-09-18 15:11:51
219,BTC,0.00090542,Trade,2020-09-18 15:11:51
220,USDC,-10.0,Trade,2020-09-15 18:57:30
221,BTC,0.00091975,Trade,2020-09-15 18:57:30
222,USDC,-10.0,Trade,2020-09-15 18:01:11
223,ETH,0.02688149,Trade,2020-09-15 18:01:11
224,GUSD,-10.0,Trade,2020-09-15 17:44:30
225,PAXG,0.00505068,Trade,2020-09-15 17:44:30
226,USDC,-10.0,Trade,2020-09-15 15:37:30
227,LTC,0.20320842,Trade,2020-09-15 15:37:30
228,USDT,-50.245034,Trade,2020-09-04 05:25:23
229,PAX,50.0,Trade,2020-09-04 05:25:23
230,GUSD,-10.0,Trade,2020-09-04 05:22:59
231,PAXG,0.00509422,Trade,2020-09-04 05:22:59
232,USDT,50.0,Deposit,2020-09-04 05:13:51
233,PAX,-10.0752912,Trade,2020-09-04 03:40:40
234,USDT,10.0,Trade,2020-09-04 03:40:40
235,PAX,-10.0,Trade,2020-09-04 03:38:25
236,PAXG,0.00509521,Trade,2020-09-04 03:38:25
237,GUSD,-60.0,Trade,2020-09-02 03:46:35
238,USDC,60.0,Trade,2020-09-02 03:46:35
239,LTC,-0.1615488,Trade,2020-09-02 03:40:41
240,GUSD,10.0,Trade,2020-09-02 03:40:41
241,GUSD,-10.0,Trade,2020-09-02 03:38:38
242,LTC,0.15901002,Trade,2020-09-02 03:38:38
243,GUSD,-10.0,Trade,2020-09-01 17:12:19
244,LTC,0.15566664,Trade,2020-09-01 17:12:19
245,GUSD,-10.0,Trade,2020-09-01 17:11:29
246,ETH,0.02079035,Trade,2020-09-01 17:11:29
247,GUSD,-10.0,Trade,2020-09-01 17:10:07
248,BTC,0.00082839,Trade,2020-09-01 17:10:07
249,USDC,-5.0,Trade,2020-09-01 15:05:36
250,PAX,5.0,Trade,2020-09-01 15:05:36
251,USDC,5.74702462,Interest Payment,2020-09-01 03:59:59
252,USDC,-0.25,Withdrawal Fee,2020-08-28 17:53:20
253,USDC,-100.0,Withdrawal,2020-08-28 17:53:20
254,GUSD,-100.0,Trade,2020-08-27 10:12:38
255,USDC,100.0,Trade,2020-08-27 10:12:38
256,USDC,-10.0,Trade,2020-08-15 20:34:17
257,BTC,0.0008358,Trade,2020-08-15 20:34:17
258,USDC,-10.0,Trade,2020-08-15 19:06:10
259,ETH,0.02276034,Trade,2020-08-15 19:06:10
260,USDC,-10.0,Trade,2020-08-15 16:38:11
261,LTC,0.16664934,Trade,2020-08-15 16:38:11
262,ETH,-0.22393859,Trade,2020-08-14 04:27:48
263,BTC,0.008,Trade,2020-08-14 04:27:48
264,BTC,0.00106403,Deposit,2020-08-12 12:06:22
265,USDC,-4.0,Trade,2020-08-12 10:56:52
266,PAX,4.0,Trade,2020-08-12 10:56:52
267,USDC,-50.0,Trade,2020-08-12 10:55:39
268,GUSD,50.0,Trade,2020-08-12 10:55:39
269,USDC,57.0,Deposit,2020-08-12 10:27:41
270,PAX,-15.0,Withdrawal,2020-08-03 19:39:33
271,USDC,-3.0,Trade,2020-08-01 20:38:44
272,PAX,3.0,Trade,2020-08-01 20:38:44
273,USDC,3.94238552,Interest Payment,2020-08-01 03:59:59
274,USDC,-50.0,Trade,2020-07-30 11:48:25
275,PAX,50.0,Trade,2020-07-30 11:48:25
